"RegionName","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36278195488722,2.5462962962963,2.61885245901639,2.66666666666667,3.07916666666667,3.20928571428571,3.14285714285714,3.2,3.04166666666667,2.70833333333333,2.66114583333333,2.40194444444444,2.40076849183477,2.5,2.33333333333333,2.66633333333333,3.07692307692308,2.80821371610845,2.84242424242424,3.33266666666667,3.21458333333333
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34376253509828,1.24150815217391,1.29806588421054,1.42045454545455,1.39691714836224,1.49761495701939,1.53061224489796,1.50187969924812,1.51785714285714,1.46475434848947,1.45695364238411,1.38226882745472,1.44835350351675,1.43647360972158,1.47511407782874,1.437425029988,1.45161290322581,1.58447036758762,1.57645822385707,1.58188337235251,1.62592915139582,1.59967910148416,1.52345970864818,1.56062001417458,1.62800162800163,1.54267589388697,1.518322735775,1.45305883466206,1.52383615266322,1.49298297999403,1.53139356814701,1.62418790604698,1.6
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929781577140375,0.967429861335053,0.945763200848264,0.893487186172456,0.79347179051082,0.805267502883841,0.795711482679251,0.793537167022406,0.768106099762321,0.780340574640247,0.805471124620061,0.898981637862064,0.953261726638075,0.930049278300073,0.901617608061522,0.786163522012579,0.852029047472004,0.875339571385451,0.881390078065978,0.879532120766396,0.933488914819137,0.94642284247674,0.940832113736149,0.866393794918988,0.880662171403832,0.879330593071051,0.935070146069279,0.91776798825257,0.872760679834635,0.811188811188811,0.870384197729387,0.864779874213837,0.862600123228589,0.852882342244044,0.905040378724589,0.905581834252258,0.92213291321214,0.875486381322957,0.900125895416464,0.926497838171711,0.880818619582664,0.886699507389163,0.864714513096276,0.866393794918988,0.864442740665662,0.836972343522562,0.864779874213837,0.872334683607869,0.911401386769891,0.864779874213837,0.913147722894333,0.874681933842239,0.864714513096276,0.884637233021915,0.88764307404812,0.873942223519113,0.868443036327077,0.872760679834635,0.910546980051828,0.966429298067141,0.985646875531639,0.925457259368326,0.933014354066986
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14285714285714,1.2475,1.05902777777778,0.971189851268591,1.0515873015873,0.925575584508299,0.983218249075216,1.02775147928994,1.05,1.07758620689655,1.0952380952381,1.10598169191919,1.16666666666667,1.17898058648395,1.16781609195402,1.09375,1.05882352941176,1.04166666666667,1.04880952380952,1.05555555555556,1.0952380952381,1.11190817790531,1.26923076923077,1.32142857142857,1.43478260869565,1.33333333333333,1.19380154296355,1.15128991060026,1.2,1.15403913697943,1.22222222222222,1.30909090909091,1.33333333333333,1.25786163522013,1.38675213675214,1.47987117552335,1.41666666666667,1.58712121212121,1.53472222222222
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,0.630008231968199,0.628708296387505,0.611708023455378,0.611708023455378,0.617474529175671,0.66264719818954,0.589171974522293,0.540569337575151,0.554790172985003,0.590868189592812,0.6428219801524,0.641422862020798,0.630630630630631,0.608695652173913,0.597999523696118,0.590900611979232,0.580387940326823,0.580764770645514,0.640797680271365,0.576166920345003,0.573630136986301,0.588235294117647,0.6,0.603280194818275,0.653223516046578,0.65464876230266,0.655091917128684,0.623459998459998,0.616397210014918,0.603424080830761,0.607734806629834,0.607734806629834,0.603424080830761,0.594325153374233,0.592521226476146,0.590634240340211,0.614906364353878,0.622607937301279,0.651176877812392,0.643245078071962,0.614478551736677,0.597403976807817,0.594325153374233,0.607734806629834,0.607734806629834,0.623162135716457,0.645588235294118,0.646175340551869,0.644930132568972,0.642123287671233,0.607734806629834,0.611244452495245,0.6004828002414,0.599880931511508,0.597403976807817,0.608215229401874,0.637987604812249,0.623369092490577,0.652598732492121,0.630304786889805,0.603424080830761,0.675912921348315,0.644653761475512,0.625601539942252,0.665941832019571,0.60195344053608,0.650362983205372,0.629889928507567,0.666087460179554,0.669099756690998,0.663639538945162,0.665495334154306,0.669099756690998,0.675,0.689559584189991,0.696067581587982,0.654705185955186,0.659420289855073,0.675272282020335,0.656691852244609,0.663919413919414,0.69856793573175,0.676742612226483,0.664525975909882,0.680337590071031,0.680391653722858,0.657854803698555,0.651217212673724,0.678183637572797,0.63230299090179,0.643136217185467,0.666666666666667,0.65906661916637,0.666666666666667,0.664288874142889,0.700043926530704,0.695376203980848,0.698720068035698,0.708955223880597,0.690556177678238
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15251632731464,1.23777082160945,1.21641432838718,1.14583333333333,1.13704847608005,1.11978434872682,1.0885564719627,1.09474043715847,1.07014158488031,1.12676056338028,1.06314044605184,1.18019887646532,1.2396694214876,1.20330069703262,1.1952871573814,1.2012012012012,1.23188405797101,1.24938383174499,1.21428571428571,1.15841384863124,1.13307618129219,1.04575163398693,1.068669527897,1.25,1.26886145404664,1.28839704896043,1.23315986302604,1.29867669953295,1.28571428571429,1.26262626262626,1.24023477028941,1.19444444444444,1.09664351851852,1.096875
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,0.634805410563442,0.655669818415404,0.710436060754532,0.681154719429127,0.684835280114015,0.639461031020456,0.62358694099005,0.643217161895231,0.663371144712129,0.657071655123309,0.65173116089613,0.659754948162111,0.667776624477091,0.653440116490717,0.646691097219228,0.632538982053545,0.648625279992572,0.644171779141104,0.629877369007804,0.634280865507,0.627615062761506,0.616453082922121,0.625,0.620229599751784,0.619024856596558,0.625653082549634,0.611487576637625,0.608493008803729,0.619627228174171,0.616306027820711,0.606704094042539,0.612397311426438,0.620389000670691,0.619750062791198,0.61368120776172,0.616123071604108,0.621414913957935,0.621414913957935,0.619872829906452,0.615929160220529,0.619834710743802,0.626606748506357,0.622325943212758,0.621875,0.627615062761506,0.634132062383672,0.63033359193173,0.636537495340432,0.62585952848723,0.641642605068977,0.626204238921002,0.618131868131868,0.613496932515337,0.619024856596558,0.617253768419823,0.636941741732517,0.638194247795104,0.623506513028649,0.637414698715635,0.643208475217556,0.650557620817844,0.648923936257598,0.636769869135014,0.637254901960784,0.648035641960308,0.650150724707944,0.657849230202928,0.669315403422983,0.66661708353915,0.683060109289617,0.69047619047619,0.662332973278733,0.684934129901961,0.658556093338702,0.663565310915667,0.659133709981168,0.641214291397576,0.670241286863271,0.658109209453953,0.687188645985189,0.700562963991093,0.713541275178731,0.707671357240127,0.707617625093353,0.70503475659244,0.706575100820432,0.708790883775864,0.72337509788567,0.720310904429213,0.717662632375189,0.715015321756895,0.721017907634307,0.72463768115942,0.725580683817343,0.738188976377953,0.730070869447546,0.753453878341754,0.753453878341754,0.744213226279402,0.762268033342716,0.764470331270477,0.769542324827866,0.752332306797345,0.764192139737991,0.791614955886003,0.802730863656574,0.793154532387917,0.782290279627164,0.787014264633547
"San Diego","CA","San Diego-Carlsbad","San Diego County",8,,,,,,1.23332695315223,1.3471470732907,1.3785046728972,1.4622398073284,1.42510133917188,1.4625992478061,1.39623620275866,1.35277579530825,1.35912241133888,1.31500987491771,1.34725496800269,1.28317293671624,1.2883834808223,1.28928823433627,1.28963762659996,1.27203347831233,1.27050498552589,1.30684788290643,1.27036419186378,1.19567352099911,1.21336568975173,1.19521912350598,1.15633672525439,1.24480369515012,1.26526129077671,1.26404494382022,1.29645635263613,1.29889730414455,1.26962169259446,1.33598635588403,1.36804410109686,1.35577233150597,1.34462522239417,1.29189669266143,1.2784023562372,1.33262260127932,1.36561199994036,1.31361128142244,1.31361128142244,1.31294443074681,1.44782015370251,1.36077960596003,1.42767220190636,1.42857142857143,1.42196762286598,1.42567841231268,1.33388949878312,1.41757879139463,1.47590598650355,1.45572179539021,1.44982904525528,1.50776728601889,1.42857142857143,1.47363789983102,1.37225548902196,1.46949203950176,1.38180272108844,1.37512829321255,1.43391521197007,1.3747758517633,1.42210730446025,1.41865719819238,1.37992253066495,1.38528678304239,1.41620879120879,1.47883732789393,1.42414972268783,1.42128279883382,1.42857142857143,1.27979382191438,1.43107450052337,1.61849100174422,1.64171493609137,1.75381624452358,1.62975344755537,1.56780768225764,1.6220294228593,1.70138216015959,1.61285588494276,1.5812812276945,1.54823989569752,1.5018404154405,1.5018404154405,1.52983171851096,1.75239424947198,1.80084745762712,1.70242760360005,1.75011413787856,1.68302061696393,1.74124659867857,1.71118846265153,1.71011308664546,1.66771554436753,1.56634658922042,1.53074689891792,1.63261844520414,1.73948220064725,1.95350326685488,1.86548473020351,1.89614935822637,1.87411598302687,1.82351142215155,1.77008332730313,1.70720299345182
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51144059687437,1.72143974960876,1.68701894522374,1.71636181408168,1.74512987012987,1.79569034317638,1.85097294731846,1.72004132231405,1.72574626865672,1.85231366157095,1.86138613861386,1.77151153904937,1.87178287318671,1.72735206680894,1.75496688741722,1.82370820668693,1.78893330844749,1.94763729246488,1.80700098629392,1.77678746954101,1.7585893486407,1.84197770237518,1.75770123381326,1.64915572232645,1.85810064316989,1.84979423868313,1.88426533767134,1.88238527067876,1.76733780760626,1.87929837101971,1.89818809318378,1.88984084448805
"Jacksonville","FL","Jacksonville","Duval County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.664780256011388,0.705624345502474,0.677323498762537,0.682805710738672,0.710547826915735,0.713851761846902,0.733645001439634,0.708868144690782,0.69286862876301,0.713806327900288,0.696864111498258,0.69101678183613,0.687810470003821,0.648547781766084,0.621255824273353,0.672823218997362,0.644208409418116,0.678368794326241,0.679571663920923,0.636421260695597,0.653270543882118,0.654945785589871,0.667280257708238,0.665800358541398,0.669689962131187,0.696053521862394,0.704201680672269,0.704225352112676,0.680727023319616,0.681474003028773,0.70594499345679,0.706851473097244
