"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08"
"Boston","MA","Boston-Cambridge-Newton","Suffolk County",11,,,,,,,,,,,,,3900,3600,3800,3900,3900,3900,3800,3800,3900,3800,3800,3950,4200,4000,3900,3900,3900,3900,3900,3750,3800,3900,3975,4100,4200,4150,4150,4150,4000,3900,3800,3800,3900,4000,3962.5,4200,4300,4275,4200,4000,4000,3900,3800,3800,3800,3700,3950,4200,4500,4500,4350,4200,4200,4000,4000,4000,4000,3997,3900,4250,4500,4500,4500,4400,4400,4300,4250,4250,4200,4050,4400,4700,4800,4800,4600,4500,4500,4400,4300,4250,4200,4150,4575,4850,5000,4900,4750,4650,4600,4500,4450,4300
"Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1700,1800,1675,1600,1799.5,1749.5,1625,1500,1700,1865,1650,1600,1822.5,1900,1950,1795,1875,2075,2200,1900,1925,1995,1775,1750,1897.5,1872.5,1745,1795,1897.5,1800,1699
"Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365,2295,2197.5,2195,2000,1800,2000,2200,2295,2172.5,2019,2200,2180,2197.5,2075,2200
"Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.5,897.5,975,1047.5,995,1025,975,975,995,925,912.5,895,875,910,985,1000,995,1025,970,925,900,950,950,925,999.5,962.5,950,1050,1050,987.5,990,1000
"Kansas City","MO","Kansas City","Jackson County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1100,1100,1075,1075,1100,1000,997.5,1150,1125,1112.5,1150,1137.5,1150,1249,1275,1274.5
"Colorado Springs","CO","Colorado Springs","El Paso County",16,,,,1850,1700,1895,1600,1547.5,1560,1595,1595,1497.5,1500,1495,1695,1850,1750,1675,1650,1650,1645,1650,1600,1600,1637,1650,1695,1795,1772.5,1650,1600,1650,1650,1600,1597.5,1647.5,1600,1650,1650,1697.5,1795,1850,1795,1850,1795,1725,1725,1700,1700,1750,1795,1950,1950,1895,1837.5,1895,1895,1875,1850,1795,1800,1800,1800,1800,1950,1897.5,1995,1925,1750,1800,1850,1925,1972.5,2000,1997.5,2095,2195,2150,2042.5,1995,2000,1995,1912.5,1895,2000,2050,2175,2195,2100,2100,2195,2100,2050,2000,1950,2000,2125,2100,2192.5,2195,2000,2250,2199,2100
"Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275,2272.5,2100,1995,2200,1995,2300,2197.5,2295,2195,2200,2200,2300,2325,2400,2150,2297.5,2200,2272.5,2300,2200,2259,2195,2197.5,2172.5,2497.5,2500
"Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",18,,,,,,,,,,,,,,,,,2395,2200,2225,2100,2200,2050,2050,2200,2197.5,2100,1950,2200,2250,2395,2250,2100,1992.5,2050,2295,2100,1925,2000,2000,2225,2300,2300,2297.5,2147.5,2300,2247.5,2200,2200,2295,2100,2100,2395,2395,2295,2000,2050,2095,2097.5,2100,2100,2200,2200,2472.5,2400,2337.5,2250,2395,2395,2347.5,2297.5,2095,2100,2250,2200,2275,2195,2550,2400,2462.5,2337.5,2367.5,2295,2200,2295,2200,2295,2300,2400,2400,2462.5,2495,2400,2300,2395,2395,2497.5,2500,2495,2400,2600,2500,2472.5,2650,2497.5
"Oakland","CA","San Francisco-Oakland-Hayward","Alameda County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3147,3000,2995,2972.5,2895,2785,2797.5,2900,3000,2774,2925,2875,2600,2900,2672.5,2500,2600,2747.5,3200,2940,2800,2700,2700
"Honolulu","HI","Urban Honolulu","Honolulu County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2590,2400,2400,2545,2500,2500,2600,2700,2597.5,2495,2437.5,2462.5,2500,2550,2750,2500,2500,2500,2475,2250,2300,2500,2400,2525,2550,2600,2650,2495,2400,2400,2450
"Cleveland","OH","Cleveland-Elyria","Cuyahoga County",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,775,775,762.5,850,850,800,825,800,725,775,710,722.5,795,837.5,850,875,800,837.5,875,875,972.5,924,900,924.5,925,937.5,900,855,850,850
"Wichita","KS","Wichita","Sedgwick County",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.5,1200,1250,1200,1350,1395,1160,1195,1097.5,1125,1100,1124.5,1095,1107.5,1150,1210,1200,1210,1185,1210,1250
"Pittsburgh","PA","Pittsburgh","Allegheny County",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1412.5,1400,1350,1347.5,1372.5,1400,1500,1600,1725,1750,1650,1592.5,1500,1497.5,1495,1437.5,1500
"Anchorage","AK","Anchorage","Anchorage Borough",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1575,1575,1625,1750,1695,1700,1595,1500,1495,1600,1595,1695,1650,1625,1600,1675,1797.5,1850,1887.5,1800,1800,1795,1700,1625,1695,1750,1800,1800,1700,1800,1800
"Plano","TX","Dallas-Fort Worth-Arlington","Collin County",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2550,2500,2500,2499,2600,2500,2495,2495,2550,2525,2497.5,2495,2492.5,2495,2600,2747.5,2745,2612.5,2674.5,2525,2497.5,2500,2475,2650,2700,2750,2700,2587.5,2595,2750,2725
"Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",26,,,,,,,2297.5,2200,2200,2125,2195,2200,2100,2200,2200,2300,2147.5,2097.5,2050,2050,1900,1995,2050,2099,2200,2050,2000,2100,2025,2200,2200,2200,2195,2100,2195,2150,2100,2100,2029,2000,2000,2000,1995,2000,2000,1995,1950,2147.5,2000,2299,2100,2197.5,2395,2300,2400,2207.5,2245,2100,2000,2095,2095,2005,2112.5,2200,2100,2315,2225,2391,2100,2295,2400,2095,2195,2246,2295,2395,2367.5,2400,2347.5,2250,2195,2200,2275,2195,2250,2250,2295,2495,2350,2390,2447.5,2372.5,2395,2400,2475,2487.5,2448,2380,2437.5,2650,2695,2685,2500,2672.5
"Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,700,650,750,750,750,795,750,775,837.5,800,772.5,750,775,800,800,800,800,800,800,900,900,985,900,1050,975,850,875,850,875,895,900,950,950,912.5,975,1000,922.5,962.5,950,950,940,950,950,1000,1050,1050,1050,1000,977.5,980,950,900,862.5,900,950,975,1050,1037.5,1000,995,1000
"Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.5,1800,1900,1945,1934,1897.5,1934,1962.5,1990,2061,1987,1975
"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4999,5300,5200,5000,5000,5100,5100,5250,5250,5450,5600,5890,5862.5,6050,6100,5837.5,5350,5500,5500,5350,5800,5750,5700,5500,5500,5500,5800,6000,5500,5999.5,5999,6000
"Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2497.5,2495,2400,2295,2295,2275,2225,2362.5,2375,2400,2400,2400,2445,2495,2500
"Rochester","NY","Rochester","Monroe County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1262.5,1250,1100,1200,1095,1025,997.5,995,1050,1150,1200,1245,1200,1172.5,1047.5
"Yonkers","NY","New York-Newark-Jersey City","Westchester County",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2249.5,2125,2350,2300,2375,2500,2425,2425,2500,2400,2300,2300,2300,2300,2300,2400,2450,2400,2200,2200,2200,2200,2183.5,2200,2300,2350,2400,2400,2400,2281.5
"Providence","RI","Providence-Warwick","Providence County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,2250,2125,2187.5,2047.5,2212.5,1875,1800,2100,2250,2312.5,2300,2225,2400,2400,2375,2200,2200,2100,1800
"Sugar Land","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2825,2775,2800,2865,2875,2900,2800,2800,2800,2800,2800,2800,2850,2672.5,2625,2795,3100,3200,3000,3000,2875,2950,2800,2800,2650,2650,2725,2925,2900,2800,2974.5
"Cumming","GA","Atlanta-Sandy Springs-Roswell","Forsyth County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2150,2040,1975,2050,1950,2200,1995,1962.5,1962.5,1862.5,1775,1695,1800,1995,2225,2350,2300,2200,2200,2200,2200,2200,2200,1995,2175,2150,2300,2500,2250,2200,2095,2100,2197.5,2200,2100,2195,2200,2300,2450,2500,2400,2200,2375,2300,2275,2150,2100,2200,2250,2350,2350,2550,2487.5,2375,2300,2350,2300,2195,2195,2100,2250,2300,2300,2350,2200,2200,2200,2350,2225,2200,2310,2425,2472.5,2395,2450,2400,2470
"Frisco","TX","Dallas-Fort Worth-Arlington","Collin County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2595,2595,2750,2750,2700,2722.5,2900,2972.5,2999.5,2995,2950,2880,2797.5,2850,2797.5,2700,2872.5,2800,2945,2800,2897.5,3172.5,3000,2895,2800,2725,2795,2997,3000,3300,2992.5,2850,2777.5
"Bellevue","WA","Seattle-Tacoma-Bellevue","King County",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3695,3500,3575,3697.5,3800,3625,3722.5,3765,3600,3495,3600,4150,3995,3950,3800,3600
"New Haven","CT","New Haven-Milford","New Haven County",38,,,,,,1150,1162.5,1150,1195,1222.5,1190,1112.5,1200,1125,1100,1225,1200,1200,1200,1200,1200,1125,1150,1150,1150,1150,1200,1162.5,1100,1162.5,1175,1200,1200,1137.5,1100,1100,1195,1162.5,1150,1200,1112.5,1190,1250,1200,1200,1200,1200,1175,1197.5,1200,1200,1212.5,1287.5,1262.5,1250,1312.5,1200,1200,1250,1250,1200,1200,1285,1325,1200,1325,1275,1250,1200,1287.5,1200,1260,1200,1262.5,1450,1525,1500,1372.5,1300,1300,1320,1375,1375,1350,1397.5,1500,1525,1537.5,1550,1600,1550,1550,1450,1350,1350,1400,1300,1300,1400,1400,1400,1450,1500,1550
"Murrieta","CA","Riverside-San Bernardino-Ontario","Riverside County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2295,2295,2325,2350,2350,2395,2395,2400,2425,2472.5,2397.5,2425,2395,2395,2425,2499,2499.5,2472.5,2585,2695,2600,2495,2500,2495,2495,2497.5,2495,2495,2500,2600,2547.5,2550,2550
"Temecula","CA","Riverside-San Bernardino-Ontario","Riverside County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2675,2600,2600,2595,2672.5,2747.5,2700,2725,2800,2797.5,2695,2600,2695,2772.5,2745,2750,2650,2700,2800,2650,2825,2850,2800,2850,2850,2912.5,2800,2765,2800,2800
"Tracy","CA","Stockton-Lodi","San Joaquin County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2572,2600,2600,2700,2650,2672.5,2700,2725,2675,2600,2600,2772.5,2700,2695,2695,2795,2795,2722.5,2750,2600
