"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-08-31,397979,"Hanover","PA","Allentown-Bethlehem-Easton","Northampton County",4363,301000,0.00601604278074866,0.01278600269179,0.0418830044998269,0.0257259751142065,0.00940568416946097,"2007-03","2007-Q1",311500,-0.0337078651685393,"2006-08"
2019-08-31,16062,"Tecumseh","MI","Adrian","Lenawee County",4364,152400,0.00793650793650794,0.0255720053835801,0.05175983436853,0.0785912522009751,,"2019-08","2019-Q3",152400,0,"2019-08"
2019-08-31,26755,"Richton Park","IL","Chicago-Naperville-Elgin","Cook County",4365,131400,-0.00979653353428787,-0.0149925037481259,0.0503597122302158,0.0365699272413236,-0.00321486729079268,"2007-03","2007-Q1",174000,-0.244827586206897,"2001-06"
2019-08-31,27103,"Signal Hill","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4366,518700,-0.000770564438451166,-0.00916905444126074,0.0295752282651846,0.0533464873569851,0.0422267431181602,"2006-07","2006-Q3",540700,-0.0406879970408729,"2006-01"
2019-08-31,39049,"House Springs","MO","St. Louis","Jefferson County",4367,170100,-0.00234604105571848,-0.00700525394045534,0.0137067938021454,0.0456088192769153,0.0127896395385152,"2019-02","2019-Q1",173600,-0.0201612903225806,"2018-10"
2019-08-31,32461,"Lebanon","IN","Indianapolis-Carmel-Anderson","Boone County",4368,136300,0.00888230940044412,0.0202095808383233,0.0500770416024653,0.0497928973903143,0.0274158271213876,"2019-08","2019-Q3",136300,0,"2019-08"
2019-08-31,12410,"Live Oak","CA","Yuba City","Sutter County",4369,241300,0.00625521267723103,0.0356223175965665,0.0913613749434645,0.0797696139914157,0.0600319921281121,"2006-02","2006-Q1",260000,-0.0719230769230769,"2005-07"
2019-08-31,24093,"Clarksville","MD","Baltimore-Columbia-Towson","Howard County",4370,716100,-0.00278512741957945,-0.0153994225216554,0.0121554770318021,0.0139427646099342,0.0133921606857486,"2006-09","2006-Q3",782700,-0.0850900728248371,"2005-07"
2019-08-31,25401,"Kilgore","TX","Longview","Gregg County",4371,119900,0.0212947189097104,0.0161016949152542,0.0890099909173479,0.0424423467428434,0.0309478370541174,"2017-09","2017-Q3",125000,-0.0408,"2017-03"
2019-08-31,51566,"Coventry","CT","Hartford-West Hartford-East Hartford","Tolland County",4372,224100,0.000893255917820456,0.0135685210312076,0.0158658204895739,0.0226071568501303,0.00203052584836083,"2006-08","2006-Q3",247600,-0.0949111470113086,"2005-04"
